Test Set,raw_model,source_model
test_0.csv,0.9,0.9
test_1.csv,0.8333333333333333,0.9523809523809523
test_2.csv,0.6363636363636365,0.8695652173913044
test_3.csv,0.7,0.8695652173913044
test_4.csv,0.8000000000000002,0.9523809523809523
test_5.csv,0.761904761904762,0.8333333333333333
test_6.csv,0.6956521739130435,1.0
test_7.csv,0.8571428571428572,0.9090909090909091
test_8.csv,0.8181818181818182,0.9523809523809523
test_9.csv,0.8181818181818182,0.9090909090909091
test_10.csv,0.8181818181818182,0.8695652173913044
test_11.csv,0.7826086956521738,0.9090909090909091
test_12.csv,1.0,0.9523809523809523
test_13.csv,0.8421052631578948,1.0
test_14.csv,0.8,0.9090909090909091
test_15.csv,0.8571428571428572,0.9523809523809523
test_16.csv,0.7272727272727272,0.9090909090909091
test_17.csv,0.7826086956521738,0.9090909090909091
test_18.csv,0.6363636363636365,0.8333333333333333
test_19.csv,0.6666666666666666,0.9
